Region,Nitrogen_N_mg/kg,Phosphorus_P_mg/kg,Potassium_K_mg/kg,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,LDR,Irrigation_Need
Punjab,983.1652439,48.49820998,187.9463896,29.33,59.13,34.25,35.17313838,442.39,0.015188359103472722
Punjab,845.0429228,27.31916657,124.2449457,29.72216098,48.97,27.78,22.3173248,464.13,0.09932229004059843
Punjab,1327.605954,29.11296164,227.294714,22.34,57.21,19.15,25.19111328,328.88,0.07278665884859711
Punjab,573.6637405,19.35716842,158.2583981,14.88,36.01,33.47,12.63090786,419.0,0.07179546889762879
Punjab,923.0131248,16.6604767,167.2575733,19.28,94.16,7.12,24.60562975,389.25,0.012387547435794947
Punjab,594.6716089,36.2533944,180.8358953,22.55,41.48,7.08,23.928232,543.34,0.15171306461225378
Punjab,826.2049605,43.92835294,207.517882,16.25,44.52,18.79,15.39205057,312.41,0.11540051889948683
Punjab,940.4143849,17.55066685,176.3129046,23.88,53.4,34.17,26.96961119,374.57,0.03825668000320105
Punjab,705.9613413,23.74099487,176.9858081,19.0,79.32,21.51,22.73211359,535.47,0.03221695699581801
Punjab,907.7359942,21.60225321,146.6506685,20.54,60.22,18.58,22.9817635,545.87,0.07281732203382758
Punjab,632.7526955,18.88053533,83.41880463,18.99,41.46,42.46,18.93579631,506.23,0.029426785532325066
Punjab,495.6290028,33.53262004,118.8195413,31.26,78.82,114.79,39.85150754,319.0,0.0
Punjab,926.540952,12.99405924,216.5501923,21.93,70.97,24.97,26.00650094,440.34,0.037163926260516844
Punjab,1132.561027,33.14802047,163.9823485,16.71,68.08,157.96,18.40765244,400.03,0.0
Punjab,541.4853529,30.28791012,143.8011905,26.11,70.74,12.04,31.83360136,501.61,0.03947178104151747
Punjab,1029.583547,26.02438836,94.94924413,15.9,95.92,98.31,20.04154285,313.76,0.0
Punjab,799.5496539,34.01684682,84.46533913,23.04,92.78,16.18,29.73764234,349.28,0.009622527737709564
Punjab,523.472131,23.80861696,138.5482592,12.2,49.7,12.73,10.24992699,422.3,0.11340285646160159
Punjab,592.2566907,34.9069894,239.3656496,15.36,84.36,5.62,18.13582749,339.41,0.03885053978763015
Punjab,862.7302923,9.811569547,138.9689735,22.98,65.75,92.8,26.95475228,473.18,0.0
Punjab,722.8158761,20.70107542,202.2861237,25.69,67.49,15.5,30.91864372,505.19,0.04361136025691717
Punjab,530.9180463,21.65417405,143.4609343,22.86,34.62,38.95,23.66159375,476.13,0.04497196462881281
Punjab,453.4133456,1.611921438,204.9689631,21.42,57.44,4.24,23.93442135,410.07,0.11169975583020336
Punjab,634.391543,12.44656134,153.4602363,20.49,47.81,17.5,21.67076461,519.6,0.10617095271051756
Punjab,813.9111872,17.24761802,102.0220037,14.61,72.42,7.24,15.89208822,334.42,0.0692293919993608
Punjab,802.3259568,34.46719849,168.60103,18.4,76.07,9.72,21.56662075,365.08,0.054488354339441894
Punjab,713.2743701,16.92752408,286.5057833,19.7,28.88,33.27,18.66827047,422.38,0.0833352481993565
Punjab,846.6705819,17.22377439,283.2996051,27.29,59.67,33.28,32.3669477,315.33,0.023410733357115007
Punjab,1021.736258,35.25005344,213.2774289,23.72,76.83,17.96,29.09279226,323.92,0.03201072867852845
Punjab,891.8424283,9.608253021,163.6904468,13.18,57.2,76.25,12.37998156,399.36,0.0
Punjab,722.5830995,4.757382657,187.8737797,23.62,70.94,3.18,28.36359547,535.97,0.06232674878714087
Punjab,1004.716105,23.23614401,197.2020385,20.07,65.27,4.74,22.8267482,527.1,0.09029589203783404
Punjab,587.8995546,8.600299396,170.3714662,18.62,65.12,5.05,20.77249035,416.49,0.09355298230097826
Punjab,722.1448251,10.45016092,199.4116035,25.06,55.93,30.92,43.86320587,335.54,0.0
Punjab,1102.442282,30.32782413,195.357169,27.15,41.75,11.44,30.39512879,344.53,0.09762096228297852
Punjab,565.6162483,31.28609348,165.4198692,26.66,43.18,4.14,29.83770478,394.39,0.1176619337670811
Punjab,709.3527522,32.05025168,112.2243211,17.8,70.64,30.23,20.19402877,352.52,0.03410575094641103
Punjab,334.5509365,31.94008064,157.9438833,20.45,60.29,90.04,22.86918738,320.74,0.0
Punjab,1196.781134,41.2343561,234.1756716,23.66,57.92,2.88,27.11223163,468.44,0.10076790390514136
Punjab,569.3317561,3.125172423,167.467049,26.88,53.64,34.25,31.19416494,445.36,0.02880530950420569
Punjab,1121.414641,32.67222826,200.2720598,19.6,55.42,23.38,21.19221673,372.82,0.07291057912759959
Punjab,814.7749678,19.77616901,160.371959,21.07,75.7,31.03,25.27036769,494.74,0.02384398256342055
Punjab,939.5373125,18.65972826,112.6828788,16.47,54.97,1.22,16.75713388,493.99,0.14014440768815153
Punjab,755.6905436,29.6224004,168.4820732,16.02,39.88,4.34,14.61840293,422.75,0.18603089945963333
Punjab,800.6497102,8.115859384,109.9985226,26.06,71.15,29.61,31.80547766,324.13,0.02093677798649976
Punjab,928.5257843,8.79097928,106.064457,28.78,56.93,23.48,34.182685,529.62,0.031872087690113585
Punjab,924.6199411,32.66910483,255.5078637,21.64,60.47,37.9,24.5470938,467.17,0.026658048829821097
Punjab,967.9624906,31.42954678,157.2289301,27.02,84.11,42.79,34.43136746,361.76,0.0028730409562856603
Punjab,732.8000631,25.63333458,136.1936633,23.81,59.69,30.19,27.49915916,452.61,0.039613630333342975
Punjab,693.3536127,15.23928066,272.680433,18.77,76.96449904,109.91,20.91377551,401.26,0.0
Punjab,467.9329343,29.25164735,232.6191482,23.81,42.32,16.67,25.76161476,458.84,0.10862491499944554
Punjab,871.1464743,32.84643802,161.1115145,29.69,56.7,10.06,35.44049582,418.47,0.039018675431026904
Punjab,1046.115847,28.01475742,206.0865226,21.82,69.14,34.21,25.66428907,421.37,0.025403922710044442
Punjab,1136.976125,16.46196336,159.9633948,29.82,36.67,11.6,33.6169394,483.97,0.07714824814679272
Punjab,888.5630459,21.36034527,136.3137583,8.9,63.01,8.6,10.30126764,453.43,0.06746233071487893
Punjab,637.3881159,31.84704045,212.6691684,26.11,61.51,4.37,30.90118661,319.99,0.06954065218208555
Punjab,440.8749359,34.87580771,167.1759561,22.44,60.62,13.99,25.67193118,316.34,0.07599028865341353
Punjab,975.980548,23.81333347,182.897317,20.5,75.56,4.6,24.46573835,376.25,0.05889118334058136
Punjab,451.5075275,18.90744687,240.0316352,22.46,65.02,16.85,26.14165777,407.56,0.060155192569694906
Punjab,700.6862033,22.69879184,233.8615545,12.06,82.17,10.18,13.30710785,368.81,0.03809292205176072
Punjab,810.5998921,27.30138634,148.364465,20.9,45.1,105.83,21.96961573,462.86,0.0
Punjab,746.8807226,19.05108972,206.2546635,23.79,62.04,34.24,27.70388685,348.78,0.02916711402709498
Punjab,815.3698036,5.0716052,97.85907471,29.39,61.27,25.76,35.47670018,476.04,0.020800981292307025
Punjab,874.6356412,37.20629511,212.983845,19.41,43.96,18.66,19.76611826,493.29,0.11496102070508954
Punjab,334.9026928,38.11927348,197.8834447,17.96,74.34,12.45,20.7744425,331.08,0.055449880889978174
Punjab,808.2002114,18.90931182,199.6780007,19.49,94.87,39.89,24.97700996,462.7,0.0025309612078070506
Punjab,325.0254906,9.870848852,156.8167332,26.58,59.74,2.94,31.38449089,540.36,0.0723119987046513
Punjab,904.9869243,25.09443615,304.3544974,23.64,67.58,38.06,28.05753163,348.21,0.018214097576454414
Punjab,712.0715033,22.00974969,124.9824806,19.35,61.27,56.27,21.41677771,527.33,0.0
Punjab,413.7744172,30.64592655,243.2675929,24.57,49.3,154.06,27.519623,451.51,0.0
Punjab,623.9945003,23.92159065,118.3731972,22.49,32.69,61.35,22.94885958,447.74,0.0
Punjab,651.8081548,15.92984932,206.2968858,26.84,49.41,55.17,30.72133978,312.98,0.0
Punjab,964.3949171,14.20139924,207.9579527,18.49,39.12,12.15,18.00206243,487.08,0.15620975583278224
Punjab,809.9070547,34.05327548,187.6281709,20.36,85.56,9.98,25.26615312,419.57,0.028892621815128493
Punjab,865.4802947,31.68888989,153.2775562,20.04,58.27,128.8,22.08733546,480.29,0.0
Punjab,1084.213697,37.97244327,193.7727994,14.68,54.81,19.83,14.24112101,502.3,0.0859249752239366
Punjab,800.9640108,15.12771142,191.1790662,23.48,73.34,109.46,28.40373074,430.95,0.0
Punjab,959.9925621,44.88837592,296.5921845,23.31,43.17,0.41,25.14737335,365.91,0.16261704006050517
Punjab,924.7664102,8.927722228,118.9415275,22.03,48.5,23.28,23.88970394,335.39,0.08139738468924215
Punjab,525.2150285,29.52706101,150.1980051,20.83,61.02,3.28,23.4621084,340.13,0.10455933908074183
Punjab,1136.769428,8.845967155,187.5320862,14.92,75.43,20.31,16.63315349,516.73,0.04238703443273458
Punjab,521.9621562,14.25939644,160.6883431,19.9,67.53,8.86,22.81252757,330.89,0.07614833582629368
Punjab,920.3919792,42.4447333,181.8051147,20.29,63.72,13.08,22.97248771,396.17,0.07712780463916648
Punjab,476.3838106,30.27585393,248.3768213,17.99,61.17,102.08,19.4971766,383.57,0.0
Punjab,894.503519,20.74247358,77.26889792,21.19,84.25718541,8.05,24.47035378,516.36,0.036220597840279166
Punjab,1155.99208,23.53382976,141.5258148,24.02,63.02,14.28,28.13247936,419.42,0.06275670099369055
Punjab,774.2873198,25.58404269,80.50311055,31.43,44.55,113.95,36.65504159,549.11,0.0
Punjab,745.5066535,29.62728871,110.820705,22.87,60.69,116.22,26.28911883,484.26,0.0
Punjab,919.7840378,38.74088,330.5378969,23.29,43.89,8.75,25.18946701,512.73,0.13306172447799466
Punjab,773.5241948,19.78120709,213.60883,21.63,61.22,9.81,24.60162381,324.67,0.08651790715824302
Punjab,1142.766167,12.51655741,229.0310747,12.41,52.79,57.43,10.84902809,363.28,0.0
Punjab,894.3659858,26.9543845,175.9548431,21.87,98.09,7.75,28.61907243,333.86,0.0033476132074043738
Punjab,715.8307723,19.78966098,223.2328458,22.3,59.4,79.48,25.36015842,415.91,0.0
Punjab,694.6159459,10.90942894,73.49683148,34.32,38.94,10.44,40.13364065,479.57,0.0
Punjab,604.9738921,26.11410306,243.7883446,21.04,57.99,21.24,23.44872968,342.27,0.07012411286990972
Punjab,678.152574,21.61449003,129.7444312,23.51,67.79,16.54,27.88903812,332.54,0.051144233869838296
Punjab,743.2077599,27.36865321,149.652561,21.83,85.1,17.41,27.27004592,453.65,0.02249054353402762
Punjab,1042.659753,15.08472185,205.837779,16.16,51.16,4.26,15.9358214,357.58,0.14478813157550258
Punjab,645.7664801,28.55364945,201.4235527,27.71,36.26,2.36,30.62635804,419.83,0.1314551025580184
Punjab,1186.08256,16.02768246,178.494509,25.76,72.25,26.31,31.48525552,312.78,0.024032241312555172
Punjab,669.0751537,14.65980985,94.07134305,25.96,39.29,17.24,28.46910194,470.15,0.09922490606540525
Punjab,814.8104698,22.86326518,184.7754288,17.45,53.46,32.38,17.97576684,435.33,0.052526354453711455
Punjab,939.4763732,43.60504202,246.3390921,29.01,56.14,23.49,34.43356927,461.86,0.031293320093850566
Punjab,877.7907607,34.11021599,151.9741268,14.99,58.96,30.65,15.08554982,368.85,0.04942993181546456
Punjab,779.8916184,35.65278585,264.2859625,24.93,70.34,21.88,30.14374669,369.65,0.034156184254657815
Punjab,748.0440185,38.68859486,134.7253852,32.95,49.75,30.55,51.38670073,500.34,0.0
Punjab,904.4944521,60.90309498,198.4041607,17.05,55.89,9.9,17.65940612,479.64,0.11229211897252958
Punjab,771.6263758,25.9530433,272.3279453,19.17,59.79,19.42,21.01859447,444.93,0.07457114035967972
Punjab,753.1942184,38.68208233,146.2220046,22.5,62.24,4.26,25.92439694,457.04,0.091164640689359
Punjab,453.1277563,32.00624286,248.3031763,19.48,61.47,1.4,21.62674076,323.51,0.11170154580987193
Punjab,716.1503713,34.02415256,303.4601625,14.25,66.54,14.16,14.80400866,514.04,0.07176108591452235
Punjab,539.6001241,40.44689967,199.1311981,22.34,72.66,83.09,26.74575926,492.48,0.0
Punjab,640.9055191,19.4756809,146.2834348,16.69,65.89,62.68,18.14895117,447.62,0.0
Punjab,798.4311717,20.07644648,131.1465749,24.37,66.8,23.08,29.00037829,529.65,0.039929619119839874
Punjab,840.1801159,28.91747229,259.8788276,27.32751146,36.27,52.77,16.18666525,342.16,0.0
Punjab,1141.823967,26.7309055,255.6865011,29.75,60.75,19.98,35.92534155,471.66,0.02380549845330132
Punjab,866.4447997,27.11518724,268.5525043,18.08,67.19,22.35,20.23926132,540.75,0.054019643876637324
Punjab,899.9348864,42.17925127,185.8437439,20.39,70.93,23.32,23.84341179,377.5,0.042584003462416156
Punjab,891.7287116,20.83192005,239.8792664,26.07,49.61,10.19,29.65147384,303.82,0.09019964298395687
Punjab,1020.318539,24.54199534,175.5466052,15.85,50.11,9.26,15.39144109,483.72,0.13212917603412766
Punjab,909.8895734,27.89245744,127.891555,23.14,51.39,15.23,25.72884899,301.75,0.09302537247852981
Punjab,620.8867324,20.70303715,246.3084079,28.54,68.05,5.42,34.95462085,518.13,0.03418278576750259
Punjab,436.9416769,2.413907941,268.4599709,13.96,75.51,19.42,15.30082158,314.08,0.04303709427263525
Punjab,837.495023,19.8225234,115.8593618,22.92,53.89,9.43,25.67880984,463.19,0.10233933822125893
Punjab,701.0971427,30.813098,121.0668662,23.3,73.62,36.08,28.18194347,394.3,0.016852516466666235
Punjab,637.4780147,37.41937251,189.5877338,25.91,61.85,35.05,30.65521971,350.84,0.023015530647425505
Punjab,511.400542,10.91484459,231.5969072,15.82,58.14,57.15,16.15357133,524.56,0.0
Punjab,827.695565,13.731951,106.173588,15.4,56.83,14.89,25.59104499,486.56,0.056055061567673065
Punjab,1049.565162,28.3154154,193.771169,24.61,71.2,9.66,29.76991705,385.11,0.048749245689867965
Punjab,706.4739699,4.182655309,134.1920247,23.48,89.36456475,15.04,27.56836673,371.04,0.01808846542613723
Punjab,919.0761405,21.73054062,219.825149,23.25,94.14,45.12,30.16373814,484.0,0.001089981750987436
Punjab,753.9112607,7.4354673,123.4497897,23.73,47.22,56.9,26.15166304,509.14,0.0
Punjab,528.410245,36.11123582,233.1553065,18.6,67.77,19.68,21.01715255,478.96,0.057505919754082514
Punjab,904.713197,18.77962269,166.6633442,23.16,52.06,20.92,25.83619849,460.0,0.07621835451753685
Punjab,583.3723583,39.34061591,132.0341709,23.47,46.96,15.65,25.74606952,356.98,0.1015843327502079
Punjab,836.0008275,36.18325326,189.3876068,18.43,59.84,17.12,19.98369929,513.2,0.08118642441118214
Punjab,698.7856839,17.85695917,76.76841351,31.33,62.06,13.62,38.26602872,487.42,0.012497152391944672
Punjab,959.939847,16.06615487,141.0902018,24.37,100.0,8.41,32.69726033,429.32,0.0
Punjab,603.4463874,20.94369802,199.2722713,16.04,57.24,24.48,16.38378128,427.9,0.06889407008282225
Punjab,914.5327216,24.73173982,79.47676688,25.28,43.05,57.43,27.90473191,442.29,0.0
Punjab,587.2443056,26.78040519,81.73073472,17.13,64.1,30.23,18.58951608,507.07,0.04338441180861696
Punjab,692.7164579,16.20778958,76.11728355,25.94,28.88,13.56,27.39803994,485.56,0.14119747697523483
Punjab,308.4939247,25.18959954,263.3619744,27.79,58.62,34.08,32.97206483,514.06,0.021443644205485043
Punjab,1215.358308,31.83419714,176.7166403,17.9,60.24,56.05,19.28403792,426.82,0.0
Punjab,835.806238,22.70111387,146.3480242,26.82,71.92,12.04,32.93190057,456.16,0.03367700649148816
Punjab,661.5627003,16.34530503,233.1497967,24.06,74.6,37.26,29.35043337,513.64,0.013819090224437933
Punjab,620.6500905,20.90068862,154.8055751,26.11,52.45,6.98,29.99464557,358.08,0.08906540077407216
Punjab,704.3698525,15.83870249,192.0254937,31.48,57.74,21.0,38.05407898,411.01,0.012512271899143872
Punjab,912.4468184,27.01375907,181.8421935,20.77,48.51,20.14,22.13081875,455.16,0.09510483476015842
Punjab,406.1861826,22.06583015,152.1671934,18.23,43.08,26.7,18.02790617,528.79,0.08853758580175937
Punjab,824.777392,27.33683116,198.9585364,25.07772969,64.65,2.2,19.23484217,303.96,0.1466525157980347
Punjab,1181.428876,46.20128374,235.231212,17.92,54.93639216,57.69,17.37962168,353.14,0.0
Punjab,592.4107986,21.41210733,168.2477764,21.61,53.78,15.55,23.83805965,358.61,0.09268643611717178
Punjab,826.7723775,35.21077008,157.3929893,23.71,45.07,28.86,25.89723906,381.65,0.06471411699136317
Punjab,1220.825887,31.70661963,160.597937,23.38,68.25,101.77,27.76452478,370.45,0.0
Punjab,920.4128646,49.35069421,78.80877849,26.14,87.02,37.26,33.49214515,447.53,0.004688525811751584
Punjab,822.8423179,24.06184764,196.3842037,22.07,40.48,5.6,23.13761803,521.41,0.1639139432752709
Punjab,917.8172295,25.42327291,107.155868,29.27,32.2,32.38,32.39047228,459.24,0.04434705386941024
Punjab,765.0975668,26.99826933,219.1788385,20.68,58.13,34.33,22.96266967,360.38,0.0385276735341839
Punjab,1093.480144,18.00926257,169.7733962,35.6,60.24,28.38,44.06354669,515.94,0.0
Punjab,677.5484693,34.31949912,238.9398441,25.13,63.28,22.0,29.70798896,458.01,0.04432024836689587
Punjab,414.8798491,27.62163678,225.291487,17.71,53.31,8.56,18.33051923,354.74,0.12375405455644603
Punjab,743.8429004,33.19739379,128.9006192,16.65,56.99,15.23,17.19904105,390.42,0.09462158822092288
Punjab,625.2158099,30.52653094,205.8781792,24.41,65.51,90.45,28.93126562,497.49,0.0
Punjab,724.8829871,25.98761198,196.8348601,20.88,75.61,22.0,25.00064634,484.73,0.03564688793317546
Punjab,835.6032765,32.15183188,172.7461231,25.57,30.67,9.26,27.06742684,444.15,0.15567061688146694
Punjab,1001.167463,34.5248464,127.8771451,24.37,54.47,29.61,27.75659084,336.19,0.046165922505122026
Punjab,906.5643466,34.27058545,219.6481468,21.64,63.21,25.31,24.81071319,500.82,0.04976159204853165
Punjab,859.6578524,16.92653098,217.9122959,17.77,46.23,8.65,17.69303584,376.89,0.1468899886582025
Punjab,862.9140916,14.02410918,181.335241,14.43,85.97,12.3,31.95519166,492.9,0.010233632190803317
Punjab,563.1441545,18.99228398,113.8371538,19.77,50.47,10.52,20.91688518,461.89,0.12295612118072917
Punjab,572.465816,20.46764952,148.2630795,26.28,59.38,20.94,30.92806097,366.04,0.04690398716343132
Punjab,854.9488102,22.80632002,175.1703944,23.07,68.34,38.67,27.33403315,353.09,0.01746930034348207
Punjab,958.3941354,7.819282407,211.9265483,15.77,51.13,37.26,15.39307282,332.73,0.040267029605447424
Punjab,768.2918844,42.00333223,93.59846306,22.87,32.3,25.48,23.44014043,360.49,0.1047805559305579
Punjab,709.9989871,21.19029135,144.7997701,23.93,53.57,5.92,27.05701821,339.46,0.10564916230930047
Punjab,901.0755397,27.65900433,156.7035221,17.58,75.44,39.89,20.35416083,454.26,0.014292813366813253
Punjab,814.2431636,66.7987446,181.232745,22.77,54.95,10.06,25.57465731,449.7,0.0985010307600075
Punjab,1175.894067,8.371488384,90.19513865,22.29,47.3,72.22,24.14034855,446.54,0.0
Punjab,1055.760092,22.34545668,164.3915306,16.29,73.89,77.46,18.38850831,460.47,0.0
Punjab,1000.651982,23.04901611,159.4344136,23.79,55.04,0.11,27.00383766,503.7,0.1155841080102104
Punjab,957.9733295,23.15546823,116.0584498,24.8,52.35,28.16,28.16475878,528.39,0.05090882616637418
Punjab,556.6439167,20.68966517,172.052567,27.42,62.24,63.28,32.80418413,357.59,0.0
Punjab,934.2551191,40.7959874,154.765674,27.27,71.56,17.89,33.53612531,446.94,0.026828519895404752
Punjab,875.2517455,32.48265192,304.0032826,15.11,95.73,1.4,18.9325703,319.58,0.011010040376522217
Punjab,957.1788136,35.79284946,131.6701763,17.31,72.41,16.59,19.68085416,330.04,0.054035533177558076
Punjab,944.0034854,26.45521897,185.6256014,24.58,77.4,41.07,30.34975995,463.58,0.007978635826463317
Punjab,845.3234117,11.91552518,124.5031348,24.57,52.41,23.25,27.8410507,421.65,0.06338543057336046
Punjab,1340.470635,10.40173294,133.6115148,24.58,44.61,19.51,27.07119784,489.58,0.08944945678425949
Punjab,764.099167,9.55762866,190.1929614,40.0,60.93,20.18,55.41474851,406.42,0.0
Punjab,977.940856,30.47267476,195.8788285,24.85,61.61,27.78,29.16075487,331.9,0.038294495058016124
Punjab,717.8754863,24.37802038,155.1388486,27.68,43.82,22.53,31.33223089,518.01,0.06171099713385374
Punjab,978.2131511,24.48128317,162.7891818,26.77,57.37,4.33,31.41705821,320.72,0.07455549057018568
Punjab,984.4962067,23.18863978,90.93711547,25.26,65.99,12.99,30.1589764,347.24,0.05214925231656171
Punjab,815.48979,45.84885215,274.2286079,20.42,65.41,54.58,23.33059009,369.24,0.0
Punjab,1104.898633,20.10849388,217.135482,25.79,67.56,53.66,31.06643178,548.82,0.0
Punjab,650.0349901,32.51144793,223.7290973,18.14,64.36,37.8,20.0264471,404.21,0.026256623848447628
Punjab,620.3472073,24.04555812,84.30956468,20.82,52.39,16.01,22.57948701,425.43,0.09782272590045725
Punjab,878.1028146,24.81476017,224.2555962,19.57,52.29,19.69,20.82914906,492.42,0.09042246010407379
Punjab,991.7968997,38.53161371,165.8131877,22.41,42.02,16.6,23.7715729,459.1,0.11737935343223223
Punjab,875.3752824,39.98885904,87.31265191,33.57,86.77,56.27,43.87716256,510.36,0.0
Punjab,1051.192924,25.17151807,232.2022527,12.66,60.2,62.15,11.95017555,421.61,0.0
Punjab,605.8178373,31.66662026,271.2260136,25.43,56.63,26.89,29.46272042,543.04,0.044762360496412336
Punjab,584.7908792,26.35884302,305.5394568,13.94,46.07,30.92,12.31681188,499.2,0.06618147132089496
Punjab,899.8695937,25.68625667,117.2871857,19.64,100.0,27.06,26.10348685,400.34,0.0
Punjab,812.3016542,26.88563945,188.0612747,27.44,43.9,28.97,31.01000795,395.32,0.04850586997624968
Punjab,888.6892555,19.20572744,255.9299559,22.32,53.57,23.32,24.80672811,532.37,0.07001301150543494
Punjab,797.1228323,21.88519542,163.249503,16.61,66.24,20.31,18.08375525,471.1,0.06081310236454576
Punjab,716.0149119,18.50996042,143.0768236,18.42,69.0,8.48,20.89031945,455.36,0.07551110773061415
Punjab,760.4320061,33.86012486,84.50688358,25.4,74.37,5.1,31.19689808,489.46,0.042885763221660066
Punjab,834.4316571,24.10769779,247.4839944,18.35,87.11,18.66,22.60141276,440.21,0.02149565646822294
Punjab,703.0740307,11.4100374,172.3514299,23.08,67.59,67.07,27.27923648,339.79,0.0
Punjab,732.5555071,17.36373591,132.6228139,22.23,64.30427363,10.28,23.7359538,379.8,0.08543626915406624
Punjab,686.159231,4.192813326,181.0336768,18.74,56.15,21.48,20.05458231,439.49,0.07790773720316856
Punjab,926.6225743,21.77333024,186.707537,32.72,64.62,43.34,40.47174856,304.54,0.0
Punjab,843.1924288,25.76804201,190.2882253,34.83113849,91.02,58.08,32.54233906,409.34,0.0
Punjab,1286.195091,28.15350494,166.2893208,11.87,39.03,0.19,8.723291782,488.95,0.18791145006144253
Punjab,826.5936973,45.1214091,287.2407718,22.93,78.04,22.53,28.11386476,341.06,0.027402139118904927
Punjab,644.657566,29.64828506,174.8545302,18.69,62.7,6.89,20.63987155,316.14,0.09697351551617438
Punjab,1359.338336,35.64135075,279.8122593,26.26,72.57,16.66,32.2267458,509.01,0.031112703100024956
Punjab,933.3010526,9.397252755,205.6336548,18.04,58.47,4.22,19.29700793,454.32,0.1183466906135751
Punjab,978.6327303,23.33024957,199.2467897,21.43,47.36,15.9,22.93635105,344.14,0.10939893346470592
Punjab,904.063372,21.31420597,170.766686,24.52,71.26,12.3,29.65630917,501.58,0.045800778562693385
Punjab,940.0698189,18.38602206,234.509594,26.33,69.82,37.38,45.78152439,464.53,0.0
Punjab,955.7862124,18.0713081,182.7805967,16.0,74.58,80.65,18.05808545,383.53,0.0
Punjab,563.9849756,4.71583087,115.0293852,20.33,59.8,39.95,22.64004305,394.05,0.023764401815970317
Punjab,833.5365066,12.9750581,115.690734,19.63,51.0,2.97,20.78026697,338.97,0.14490636386464895
Punjab,553.9725582,31.09027739,209.720467,18.73,36.62,14.58,18.09181951,508.81,0.15353013397386697
Punjab,789.1020422,23.22127433,124.8454265,30.83,72.29,45.12,38.5890599,427.25,0.0009803636470145012
Punjab,655.0639435,18.48876509,173.7379879,24.02,66.36,57.15,28.46583422,439.25,0.0
Punjab,854.7460022,25.66494037,243.4029433,15.7,45.51,13.34,14.72132605,520.87,0.1321332018285299
Punjab,896.6613619,37.33825249,204.0769534,26.59,51.92,28.38,30.62213949,303.96,0.04320072190463694
Punjab,912.0710801,26.00229178,136.6910526,32.61,53.0,116.97,39.15986178,316.73,0.0
Punjab,834.4069345,30.97459315,267.3018707,27.16,37.76,13.99,30.00552335,340.39,0.10139844111424191
Punjab,680.1028419,15.31634932,281.4709986,14.4,47.73,31.79,13.13347641,307.51,0.061374103570506613
Punjab,707.248774,18.28799302,237.9768502,19.58,42.99,38.95,19.90925446,464.54,0.041301974025101315
Punjab,1004.656714,30.38079232,81.76988443,28.33,53.81,83.4,33.25128148,458.47,0.0
Punjab,1005.702993,46.06571335,209.3132685,18.46,48.92,52.26,18.94195375,352.7,0.0
Punjab,557.568675,37.0064338,237.6788743,24.22,35.59,7.48,25.66949262,337.35,0.15842766105377146
Punjab,492.8237654,27.76814473,284.9341403,25.87,90.34,109.2,33.45388535,336.42,0.0
Punjab,655.829231,25.05622123,92.9271688,17.37,78.79,20.14,20.3888111,538.31,0.03595695966481223
